#Approved Symbol	Previous Symbols	Synonyms
A1BG		
DNAJC9		JDD1, SB73
FIP1L1		DKFZp586K0717
FGD4		FRABP, frabin, ZFYVE6, CMT4H
DIRAS1		Di-Ras1, GBTS1, RIG
PSAT1		PSA
HS6ST2		
HS6ST3		
FRG2		FRG2A
CD276		B7-H3, B7H3, B7RP-2
LRRC23		B7, LRPB7
POMGNT1		FLJ20277, MGAT1.2, LGMD2O
TTBK1		KIAA1855
TTBK2	SCA11	KIAA0847
SPACA5B		
USP32		NY-REN-60, USP10
MMVP1		
MMVP2		
NSUN5P1	NSUN5B	WBSCR20B
GJD3	GJC1	CX31.9, GJA11, Cx30.2
PACRG		PARK2CRG, FLJ32724, Glup, HAK005771
GJD2	GJA9	CX36
GJA9	GJA10	CX59, CX58
MYRIP		DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C
IL27	IL30	IL-27, p28, IL27p28, IL-27A, IL27A, MGC71873
ZDHHC11		ZNF399, FLJ13153
ZDHHC12		ZNF400, FLJ14524
ZDHHC6		ZNF376, FLJ21952
STARD8		KIAA0189, ARHGAP38
STARD9		KIAA1300
HIST1H1PS1		dJ34B20.16, FLJ39701, H1F6P
STARD13	LINC00464	GT650, DLC2, ARHGAP37
TBC1D4		KIAA0603, AS160, DKFZp779C0666
TBC1D5		KIAA0210
KIF17		KIAA1405, KIF3X, KIF17B, OSM-3, KLP-2
TINAGL1	LCN7	P3ECSL, LIECG3, ARG1, TINAGRP
STARD3NL		MENTHO, MGC3251
CMTM1	CKLFSF1	CKLFH1a, CKLFH
CMTM2	CKLFSF2	MGC39436, FLJ25732
CMTM3	CKLFSF3	FLJ31762, BNAS2
CMTM4	CKLFSF4	
CMTM5	CKLFSF5	FLJ37521
CMTM6	CKLFSF6	FLJ20396
CMTM7	CKLFSF7	FLJ30992
CMTM8	CKLFSF8	
RNF44		KIAA1100
KIF14		KIAA0042
SASH1		KIAA0790, dJ323M4.1, SH3D6A
HCN3		KIAA1535
STK11IP		LIP1, KIAA1898, LKB1IP, STK11IP1
FRAS1		FLJ22031, FLJ14927, KIAA1500
SCASI	SCA24	SCAR4
NYS4		
DOCK6		KIAA1395, ZIR1
DOCK7		KIAA1771, ZIR2
DOCK8		FLJ00026, FLJ00152, ZIR8, FLJ00346
DOCK4		FLJ34238, KIAA0716
SERPINA11		
HMCN1	ARMD1	FBLN6, FIBL6, FIBL-6
ABLIM2		KIAA1808
SP8		
DPPA2		PESCRG1, CT100
DPPA3		Stella
DPPA4		FLJ10713
DPPA5		Esg1
STIM2		
DFNB38		
RTN3P1	RTN3PS	
C16orf45		FLJ32618
SHKBP1		PP203, Sb1
FDCSP	C4orf7	FDC-SP
SMR3A	PROL5	PBI, PRL5
THADA		FLJ21877, KIAA1767, GITA
PLCZ1		NYD-SP27, PLCzeta
WSB1		DKFZp564A122, DKFZp564B0482, SWIP1
WSB2		SBA2, MGC10210
EDDM3B	FAM12B	HE3-BETA
EDDM3CP	FAM12CP	HE3-GAMMA
C4orf3		
TMEM9B-AS1	C11orf18	
TEX40	C11orf20	DKFZP566E164
CXCL17		Dcip1, UNQ473, DMC, VCC1
FUT11		MGC33202
FUT10		
AATF		DED, CHE-1, CHE1
PLEKHB2		EVT2, FLJ20783
NANS		SAS
PLEK2		
SYT11		KIAA0080, MGC10881, MGC17226, DKFZp781D015
EMR4P	GPR127, EMR4	PGR16
GPR128		FLJ14454
SNX18	SNAG1	SH3PX2, SH3PXD3B
TERF2IP		RAP1
UBE2Q2		DKFZp762C143
DGCR7		
SLC25A5P1	ANTP3	bK250D10.4
CPSF1P1		dJ90G24.5
NDUFA9P1		dJ106I20.2
PPP6R2	KIAA0685, SAPS2	dJ579N16.1, SAP190
PLAC8		onzin, C15
PLAC9		
CERK		hCERK, FLJ23239, dA59H18.3, DKFZp434E0211, FLJ21430, KIAA1646, LK4, dA59H18.2
CLCP1		
TERF2IPP1		
KRT18P5		
LTB4R2		BLTR2, BLT2, JULF2, NOP9
MTO1		
PAPLN		MGC50452
LMAN2L		DKFZp564L2423, VIPL
SYT8		DKFZp434K0322
SYT9		
SYT10		
MDGA1		GPIM, MAMDC3
UBE2J2		Ubc6p, NCUBE2
RNASE11	C14orf6	
MED15P1	PCQAPP, MED15P	
NEK2P1	NEK2P	
RPPH1		H1RNA, RPPH1-1
TTC5		Strap
RNASE10		RNASE9
RNASE8		
RNASE7		
SETP1	SETP19	SETP
METTL17	METT11D1	FLJ20859
STK16P1	STK16P	
SCYL3		PACE-1, PACE1
SCYL2		KIAA1360
CDKL4		
ACMSD		
CSMD2		KIAA1884
CSMD3		
ZNF402P		
TPPP2	C14orf8	p25beta, p18
LMTK3		KIAA1883, LMR3, TYKLM3
EPHA6		FLJ35246
TNK2		p21cdc42Hs, ACK, ACK1
TMEM55B	C14orf9	MGC26684
STX19		MGC21382
MRX81		
SCAF4	SFRS15	KIAA1172, DKFZp434E098, SRA4
SLC30A6		FLJ31101, ZNT6
SLC30A7		ZnTL2, ZNT7
SDK1		FLJ31425
SDK2		FLJ10832, KIAA1514
KANK1	ANKRD15	KIAA0172, KANK
PIM3		
NPAS3		MOP6, PASD6, bHLHe12
EAPP	C14orf11	BM036, FLJ20578
TNIP3		LIND, FLJ21162, ABIN-3
LEPRE1		GROS1, P3H1, LEPRECAN, MGC117314
LEPREL1		FLJ10718, MLAT4, P3H2
LEPREL2		GRCB, HSU47926, P3H3
CD300A		Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12
CD300C		CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16
NKX6-2		NKX6B, GTX, NKX6.1
PPM1E		POPX1, KIAA1072, PP2CH, CaMKP-N
DIRAS2		Di-Ras2, DKFZp761C07121
DYX7		
SLC9A3P2		
POM121L4P		
ARHGAP42P3	OPHN1P1	
FABP5P11	FABP5P1, FABP5L11	
BMP6P1		
SOCS2P2		
MMAB		cblB
ASH2LP1		
DTWD2		FLJ33977
SHPRH		FLJ90837, KIAA2023, bA545I5.2
NRADDP		
CDK19	CDK11, CDC2L6	KIAA1028, bA346C16.3
NRBP2		DKFZp434P086
MAGEA2B		MAGEA2b, MAGE2, MGC16973, MAGEA2
CAMK1D		CKLiK
ST6GALNAC5	SIAT7E	MGC3184, ST6GalNAcV
ST6GALNAC3	SIAT7C	
DENND5A	RAB6IP1	KIAA1091, FLJ22354, FLJ33829, FLJ43455
CUX2	CUTL2	KIAA0293, CDP2
BET1L		GS15, GOLIM3
KIF21A	FEOM1	FLJ20052
KDELC1		MGC5302, EP58
BICC1		
DYX6		
SIN3A		KIAA0700, DKFZP434K2235
SIN3B		KIAA0700
JMJD6	PTDSR	PTDSR1, KIAA0585
COPZ2		MGC23008
GGNBP2	ZNF403	ZFP403, LZK1, FLJ22561, FLJ21230, DIF-3, DIF3
ALG12		ECM39
C1QL3		K100, C1ql, C1QTNF13, CTRP13
KLHL12		C3IP1
RTKN2	PLEKHK1	Em:AC024597.2, bA531F24.1, FLJ39352
PANK3		FLJ12899
PANK4		FLJ10782
FAM13A	FAM13A1	KIAA0914, ARHGAP48
HYDIN		DKFZp434D0513, KIAA1864, PPP1R31
PPHLN1		
FAM13A-AS1	FAM13A1OS, FAM13AOS	NCRNA00039
FAM13C	FAM13C1	
IL31		IL-31
TP53I3		PIG3
NKRF		ITBA4, NRF
SLC25A23		FLJ30339, MGC2615, APC2
CELIAC2		CD, GSE
PGBD3P4		
RNU12	RNU12P	RNU12-1
SOCS2		STATI2, SSI2, SOCS-2, SSI-2, CIS2, Cish2
SOCS1		SOCS-1, SSI-1, JAB, TIP3, Cish1
SUGT1P1	SUGT1P	bA255A11.1, SGT1P, MGC15151
HLA-X		
PPM1F		FEM-2, KIAA0015, POPX2, CaMKPase, CAMKP
SOCS3		SSI-3, CIS3, SOCS-3, Cish3
SOCS4	SOCS7	
HLA-DPA3		
HLA-Z		HLA-Z1
HLA-S		HLA-17
PGBD3P3		
PGBD3P2		
PGBD1		HUCEP-4, dJ874C20.4, SCAND4
PGBD2		
PGBD3		FLJ90201
PGBD4		FLJ32638, FLJ37497
PGBD3P1		
NOXO1		P41NOXA, P41NOXB, P41NOXC, SH3PXD5, SNX28
PGBD5		DKFZp761A0620, FLJ11413
HLA-N		HLA-30
LRRTM1		FLJ32082
LRRTM2		KIAA0416
LRRTM3		
LRRTM4		FLJ12568
ZMYND10		BLU
DPY19L2		FLJ32949, SPATA34
RPL21P17		
ZNF404		
HS3ST5		3-OST-5
STOML3		SRO, Epb7.2l
ING5		FLJ23842, p28ING5
TADA3	TADA3L	FLJ20221, FLJ21329, ADA3, hADA3, NGG1
ING4		p29ING4, my036
IPO9		Imp9, FLJ10402
IPO4		Imp4, FLJ23338
GGNBP1		
RPS9P2		bA12M9.1
SLC41A1		MgtE
CNIH		TGAM77, CNIL, CNIH1
OR4H12P	OR4H12	C14orf14
LINC00516	C14orf17	
CCNB1IP1	C14orf18	HEI10
KCNK18		K2p18.1, TRESK-2, TRESK2, TRESK, TRIK
SBDS		CGI-97, FLJ10917, SDS, SWDS
MINA		MINA53, FLJ14393, mdig
OR7E136P	OR7E147P, OR7E139P	
OR7E140P		
OR2A25	OR2A25P, OR2A27	
OR2AK2	OR2AK1P	
OR2T10		
OR2T11		OR2T11Q
OR14I1	OR5BU1P, OR5BU1	
OR2M5	OR2M5P	
OR2L13	OR2L14	
OR52A4		
OR52A5		
OR11N1P		
OR4F21	OR4F21P	
OR4D12P	OR7E103P	
OR7E149P		
OR2T12		
OR2M7		
OR52Z1	OR52Z1P	
OR51V1	OR51A12	
OR51B5		
OR51B6		
OR10AF1P		
OR10AG1		
OR8U1		
OR5J2		
OR8V1P		
OR5B21		
OR7E145P		
OR2AT2P		
OR2AT4		
OR8G5	OR8G5P, OR8G6	
OR8G7P		
OR5BS1P	OR5BS1	
OR8S1		
OR5BT1P		
OR8T1P		
OR6U2P	OR6U1P	
OR6C4		
OR11K2P		
OR11P1P		
OR10J7P		
OR10J8P		
OR10J9P		
OR7E148P	OR7E150P	
OR10AH1P		
PLEKHA3P1		PLEKHA3P
CHST10		HNK-1ST
SMAP1		FLJ13159, SMAP-1
SSX6	SSXP2	psiSSX2
SSX7		
SSX8		
SSX9		
OTOP1		
OTOP2		
OTOP3		
SLC36A3		PAT3, TRAMD2, tramdorin2
SLC36A4		PAT4, FLJ38932
TNNI3K		CARK
GSTA5		
GNG12		
GNG8		
STXBP5		tomosyn, LLGL3
STXBP6		amisyn, HSPC156
WDR20		DMR, MGC33177, FLJ33659
RPL27P1		
RPL12P5		
UBE2CP1		
RPS15AP2		
ATP5G2P2	ATP5GP2	
RPL18P1		
RPS15AP3		
RPL13AP2		
RPA2P1	RPA2P	
MYCBPAP		AMAP-1, DKFZp434N1415
UCHL5		UCH37, CGI-70, INO80R
AAK1		KIAA1048, DKFZp686K16132
GPBAR1		BG37, GPCR, TGR5, M-BAR, GPCR19, GPR131, MGC40597
DUSP13		BEDP, TMDP, FLJ32450, DUSP13A, DUSP13B
GSG2		haspin
UHMK1		KIS, Kist
WEE2		FLJ16107
SEPHS1		SPS, SPS1
SEPHS2		SPS2, SPS2b
EIF2AK4		GCN2, KIAA1338
PVRL4		nectin-4, PRR4, LNIR
RD3	C1orf36	LCA12
LINC00320	C21orf131, NCRNA00320	PRED14, FLJ37539
MECR		CGI-63, NRBF1, FASN2B
NRBF2		DKFZp564C1664, FLJ30395, COPR1, COPR2
COQ4		CGI-92
STXBP4		Synip, MGC50337
FGFBP1		HBP17, FGFBP
GRPEL1		HMGE, FLJ25609
KCNG4		Kv6.4
KCNV2		Kv8.2
PLK2		SNK
CNKSR1		CNK1, KSR, CNK
CNKSR2		KIAA0902, CNK2, KSR2
POM121		KIAA0618, DKFZP586G1822, DKFZP586P2220, POM121A
ULK3		DKFZP434C131, FLJ90566
ANGPTL5		
ADAMTSL4	TSRC1	DKFZP434K1772
LDHD		
IGBP1P1	C14orf19	
HHIPL1	KIAA1822	
DISP1		DISPA, MGC13130, DKFZP434I0428, MGC16796
DISP2		DISPB, KIAA1742, HsT16908
HCG23		dJ1077I5.3
DDHD1	SPG28	KIAA1705, PA-PLA1
CLSPN		
GSG1		MGC3146
GMCL1P1	GMCL1L	GMCL2, GCL
RXFP1	LGR7	RXFPR1
LGR6		FLJ14471
LINC00323	C21orf130, NCRNA00323	PRED42, FLJ37173
CANT1		SHAPY, SCAN-1
ANKRD30BP1	C21orf110, ANKRD30BP	PRED4
LINC00316	C21orf111, NCRNA00316	PRED59
LINC00162	C21orf113, NCRNA00162	PRED74, NLC1-C
LINC00479	C21orf129	PRED76, FLJ32835
FAM27A		bA7G23.5, FAM27A1
LINC00319	C21orf125, NCRNA00319	PRED49, FLJ38036
DHRS4L2		SDR25C3
DHRS4L1		SDR25C4
XPO6	RANBP20	KIAA0370, FLJ22519
RANBP20P		
EPM2AIP1		KIAA0766, FLJ11207
FAM170B	C10orf73	Em:AC084727.4
TENC1		KIAA1075, C1-TEN, TNS2
TTC6	NCRNA00291, C14orf25	
PCNX	PCNXL1	KIAA0995, KIAA0805
KLHL28	BTBD5	FLJ20081
LRR1	PPIL5	MGC20689, LRR-1
POMT2		LGMD2N
SRGAP3	SRGAP2	KIAA0411, MEGAP, WRP, ARHGAP14
ENTPD7		LALP1, FLJ30978
EVC2		LBN
ACOT4		FLJ31235, PTE-Ib, PTE2B
TTC7A	TTC7	KIAA1140
SRGAP2	FNBP2	KIAA0456, ARHGAP34, SRGAP2A
FNBP4		KIAA1014
IFI27L2	FAM14A	TLH29
IFI27L1	FAM14B	
RUFY1		FLJ22251, ZFYVE12, RABIP4
RUFY2		RABIP4R, FLJ10063, KIAA1537, ZFYVE13
ZFPM1		FOG1, FOG, ZNF89A, ZC2HC11A
ASB12		FLJ39577
HES5		bHLHb38
ASB13		FLJ13134, MGC19879
ASB14		DKFZp313L0121
ASB15		FLJ43370
ASB16		FLJ30165
ASB17		
ASB18		
SNORD56B	RNU56B	
RPL21P7		
RPL26P2		
RPL39P2		
RPS27AP4		
RPL26P3		
RPL36AP2		
RPL18AP1		
RPL21P8		
RPL21P9		
RPL7AP5		
RPL12P7		
RPS29P1		
RPL24P3		
RPL7AP6		
RPL36P3	RPL36AP3	
RPS12P1		
RPL41P4		
RPS8P1		
RPS2P2		
RPS24P2		
RPSAP3	LAMR1P3	
RPLP1P1		
RPL22P2		
RPL21P10		
RPL17P3		
RPS24P3		
RPL9P6		
RAB42P1	RAB42, RAB42P	
RPL21P11		
RPS18P2		
RPL36AP4		
RPL15P2		
RPL23AP10		
RPL3P4		
RPS2P3		
RPL26P4		
RPL23AP11		
RPL13P6	RPL13AP4	
RPL21P12		
RPL17P4		
RPL21P13		
RPL10AP1		
RPS2P4		
ATP5G1P1	ATP5GP3	
ATP6V1G1P1	ATP6V1GP1	
ATP5G1P2	ATP5GP4	
EPB41L4B		EHM2
EPB41L5		KIAA1548, FLJ12957, BE37, YMO1
ZFP64P1	ZNF405P	
SF3B4P1	SF3B4P	
ADAM21P1	ADAM21P	
H3F3AP2		H3F3CP
SYF2	CBPIN	p29, DKFZp564O2082, NTC31, fSAP29
TSSK4	C14orf20, STK22E	
NOP9	C14orf21	
NOVA1-AS1	C14orf22	
C14orf23		
FAM177A1	C14orf24	
LINC00517	C14orf26	
CLEC14A	C14orf27	
FBXO33		Fbx33
C14orf28		DRIP-1
MDGA2	MAMDC1	
KLHDC1		MST025
ABHD12B	C14orf29	BEM46L3
LINC00519	C14orf30	
FRMD6	C14orf31	MGC17921, willin, EX1
MAPK1IP1L	C14orf32	
TBPL2		TRF3, TBP2
KTN1-AS1	C14orf33	
LINC00520	C14orf34	
NAA30	C14orf35, NAT12	FLJ35355, MAK3, Mak3p
SLC35F4	C14orf36	FLJ37712
C14orf37		
CCDC175	C14orf38	
LRRC9		FLJ46156
C14orf39		SIX6OS1
ELMSAN1	C14orf117, C14orf43	LSR68
FAM161B	C14orf44	FLJ31697
CCDC176	C14orf45	
LIN52	C14orf46	
ISCA2	HBLD1	ISA2
TTC7B	TTC7L1	
TC2N	C14orf47, MTAC2D1	FLJ36557, Tac2-N, C2CD1
LINC00521	C14orf48	
SYNE3	C14orf49	FLJ25605, NET53, Nesprin-3, Nesp3
SLC38A6		NAT-1
POU2F3		OCT11, PLA-1, Skn-1a, Epoc-1
YTHDF2P1	YTHDF2P	HGRG8, NY-REN-2
MBTD1		SA49P01, FLJ20055
VN1R3		V1RL3, FKSG46
DOK4		FLJ10488
SCARF2		SREC-II, SREC2, HUMZD58C02
VN1R5		V1RL5
VN1R4		V1RL4
VN1R2		V1RL2
GALNT10		DKFZp586H0623
BRD8		SMAP, p120
GALNT11		FLJ21634
EPC1		Epl1
GALNT12		FLJ21212
EMILIN1		DKFZp586M121, gp115
EMILIN2		FLJ33200, FOAP-10
ZBTB49	ZNF509	FLJ38559
HOOK1		HK1
HOOK2		HK2
MMRN2	EMILIN3	EndoGlyx-1, FLJ13465
NLE1		FLJ10458
PDZD3	PDZK2	FLJ22756, IKEPP
GPR133		DKFZp434B1272, PGR25
TRAPPC1		MUM2, BET5
GBP5		
FAM60DP		
BTBD6		BDPL
CHST9		GALNAC4ST-2, GALNAC-4-ST2
ZFAT	ZNF406, ZFAT1	KIAA1485
EIF1AXP1	EIF1AP1	
RRAGB		
RRAGC		GTR2, FLJ13311
RRAGD		DKFZP761H171, bA11D8.2.1
ZNF407		FLJ20307, FLJ13839, KIAA1703
ODF3		SHIPPO1, hSHIPPO, CT135
P2RY10		P2Y10
UBE2R2		UBC3B, CDC34B, FLJ20419, MGC10481
RPP25L	C9orf23	bA296L22.5, MGC29635
NOL6		bA311H10.1, Nrap, FLJ21959, MGC14896, MGC14921, MGC20838, UTP22
DCAF12	KIAA1892, WDR40A	DKFZP434O125, MGC1058, CT102, TCC52
IMPDH1P1		bA537H15.4
TUBBP4		bA537H15.5
RPL35AP2		bA571F15.2
KIF24	C9orf48	bA571F15.4, FLJ10933, FLJ43884
SERPINH1P1	SERPINHP1	bA571F15.6, pshsp47
KIAA1161		NET37
C9orf24		bA573M23.4, NYD-SP22, MGC32921, MGC33614, CBE1, SMRP1
FAM219A	C9orf25	bA573M23.5, FLJ39031
ARHGAP16P	ARHGAP15P	
BNIP3P1	BNIP3P	
BRD7P1	BRD7P	
BTF3P2		
SYF2P1	CBPINP, SYF2P	
SEPT7P1	CDC10P	
COILP1	COILP	
DNAJC8P1		
EIF4BP1	EIF4BP	
HMGN2P1	HMGN2P, HMGN2L1	
HNRPUP		
MTCO1P2		
NARSP1	NARSP	
NUTF2P2		
PPIAP4		
YWHAQP1	YWHAQP	
YWHAZP1	YWHAZP	
AQP11		
AQP12A	AQP12	
TRAPPC3		BET3
TRAPPC4		TRS23, SBDN, PTD009
CAMSAP1		FLJ31228, DKFZp434F195
POP7		RPP20, RPP2
RDM1	RAD52B	MGC33977
DYX8		
PLSCR5		
SGPP2		SPP2, FLJ39004
SLC25A22		GC1, FLJ13044, NET44, EIEE3
KIAA0125	FAM30A, C14orf110	HSPC053
KIAA0247		
TECPR2	KIAA0329	
KIAA0391		MRPP3
FAM179B	KIAA0423	
KIAA0586		Talpid3
ANGEL1	KIAA0759	
ATG14	KIAA0831	ATG14L
TTLL5	KIAA0998	
VASH1	KIAA1036	
TXNDC16	KIAA1344	
UNC79	KIAA1409	
CCDC88C	KIAA1509	DAPLE, HkRP2
NAP1L5		DRLM
MED6		NY-REN-28
MED8		MGC17544, MGC19641, ARC32
CLMN		FLJ12383, KIAA1188, KIAA0500
RHPN1		KIAA1929, RHPN, ODF5
RHPN2		
RDH10		SDR16C4
RDH12		FLJ30273, SDR7C2, LCA13, RP53
RDH13		SDR7C3
RDH14		PAN2, SDR7C4
GNPNAT1		Gpnat1, FLJ10607
OTSC4		
RAB19		RAB19B
RAB43		RAB41, RAB11B, ISY1
SUB1		PC4, p15, p14
CYCS		HCS
EPHA10		FLJ16103, FLJ33655
ANAPC1		MCPR, TSG24, APC1
ANAPC2		APC2, KIAA1406
ANAPC4		APC4
GPR135		HUMNPIIY20, PAFR
OPN5	TMEM13	neuropsin, dJ402H5.1
GPR139		PGR3
GPR141		PGR13
TNPO2		IPO3, KPNB2B, FLJ12155, TRN2
PCSK9	HCHOLA3	NARC-1, FH3
AKR1B1P5	AKR1B1P	
RHOQP1	ARHQP, RHOQP	
CKS1BP1	CKS1BP	
COX5AP2		
COX7A2P1	COX7A3P, COX7AP1	
DDX18P1		
EEF1A1P2		
EIF2S2P1	EIF2S2P	
EIF3LP1	EIF3S6IPP, EIF3EIPP1	
ENSAP2		
FRDAP		
GCATP1	GCATP	
HMGB1P14	HMGB1P, HMGB1L14	
HMGN1P1	HMGN1L1	
HMGN2P2	HMGN2L2	
HNRPCP		
RPSAP4	LAMR1P4	
MAD2L1P1	MAD2L1P	
MAGOH3P	MAGOHP	MAGOHP1
MOCS3P1	MOCS3P	
NCOA4P1	NCOA4P	
NDUFB8P1		
NMNATP		
NUP50P1	NUP50P	
PDLIM1P		
PPIAP5		
PPIAP6		
PSMA3P		
PTBP1P		
PTMAP7		
SETP2		
SNRPGP1	SNRPGP	
SRMP2		
ABI1P1	SSH3BP1P, ABI1P	
UNGP3		
DDX52		ROK1
CAP2		
CAP1		CAP
ZNF408		FLJ12827
GEMIN5		
GEMIN6		FLJ23459
GEMIN7		FLJ13956
NT5CP1		
NT5CP2		
BLZF2P		
CHORDC2P		
SLC20A1P1		
HSPE1P2	HSPEP2	
HSBP1P1		
PEBP1P1	PBPP1	
PTTG4P		
UBA52P3		
USP33		KIAA1097, VDU1
USP31		KIAA1203
USP35		KIAA1372
USP36		KIAA1453, FLJ12851
USP37		KIAA1594
USP44		FLJ14528
USP30		MGC10702, FLJ40511
USP34		KIAA0570, KIAA0729
USP38		KIAA1891, HP43.8KD
USP42		FLJ12697
USP40		FLJ10785
USP41		
USP39		SAD1, CGI-21, SNRNP65
USP43		FLJ30626
SNX27		MY014, KIAA0488, MGC20471
PAN2	USP52	KIAA0710, hPAN2
USP46		FLJ12552
USP47		
RPS26P7		HsT24280
USP49		MGC20741
USP50		
USP45		MGC14793
IGFBPL1		bA113O24.1
DDX51		
DDX53		CAGE, CT26
DDX54		MGC2835, APR-5, DP97
DDX55		KIAA1595
DHX57		DDX57
TTC8		BBS8, RP51
GPR142		PGR2
DNAJC1		DNAJL1, ERdj1, MTJ1
AK7		FLJ32864
ATF7IP		FLJ10688, p621
ADSSL1		FLJ38602
PFM3		
CYCSP1		HC5, HCP36
ANKRD9		
PPP1R36	C14orf50	
CHURC1	C14orf52	My015, FLJ33064
LINC00238	C14orf53, NCRNA00238	
FAM71D	C14orf54	
ADAM20P1	C14orf55	
FLVCR2	C14orf58	FLJ20371, MFSD7C
ZDHHC22	C14orf59	
LINC00618	C14orf63	
C14orf64		
DEGS2	C14orf66	DES2, FADS8
SLC25A47	C14orf68	
SLC25A29	C14orf69	FLJ38975
LINC00523	C14orf70	
LINC00524	C14orf71	
LINC00239	C14orf72, NCRNA00239	
EXOC3L4	C14orf73	
LINC00677	C14orf74	
TDRD9	C14orf75	DKFZp434N0820, FLJ36164, NET54
ASPG	C14orf76	
AHNAK2	C14orf78	
C14orf79		
C14orf80		
FRMD6-AS1	C14orf82	
TMEM229B	C14orf83	FLJ33387
ACTN1-AS1	C14orf84	
ITPK1-AS1	C14orf85, NCRNA00203, ITPK1AS, ITPK1-AS	
FAM181A-AS1	C14orf86	
GLRX5	C14orf87	PR01238, GRX5
MIR381HG	C14orf89	NCRNA00225
TMEM179	C14orf90	FLJ42486, TMEM179A
RPSAP5	LAMR1P5	
NPM1P20		
NUDT14		UGPP
CAP2P1		
MPPE1P		
ZNF410		APA1, APA-1
GPR143	OA1	
CBLN3		
CYB5R4	NCB5OR	b5+b5R, dJ676J13.1
PLEKHD1		UPF0639
PTGR2	ZADH1	FLJ39091
RAB15		
SLC17A8	DFNA25	VGLUT3
ZFHX2	ZNF409	KIAA1762, KIAA1056, ZFH-5
CHD8	HELSNF1	KIAA1564, DUPLIN
ABHD4		FLJ12816
RBM23	RNPC4	FLJ10482
JPH4	JPHL1	KIAA1831
HECTD1		KIAA1131
SNORD8	RNU6C	mgU6-53
EIF4EBP1P1	EIF4EBP1P	
TOX4	C14orf92, KIAA0737	LCP1
C14orf93		FLJ12154
HAUS4	C14orf94	FLJ20424
HOMEZ	KIAA1443	
NYNRIN	KIAA1305	FLJ11811, CGIN1
KHNYN	KIAA0323	
LINC00226	C14orf97, NCRNA00226	
LINC00221	C14orf98, NCRNA00221	
TMEM183A	C1orf37	
ASUN	C12orf11	FLJ10637, NET48, Mat89Bb, SPATA30
GOLT1B		CGI-141, YMR292W, GOT1
TAB3-AS1	CXorf29	OTTHUMG00000021331
MYPOP		P42pop
SLC39A9		FLJ11274
JKAMP	C14orf100	HSPC213, JAMP, HSPC327, CDA06
TMEM260	C14orf101	FLJ20392
NRDE2	C14orf102	FLJ14051
ATG2B	C14orf103	FLJ10242
DNAAF2	C14orf104	FLJ10563, KTU, PF13, CILD10
C14orf105		FLJ10650
MIS18BP1	C14orf106	M18BP1, FLJ11186, KIAA1903, KNL2
LINC00216	C14orf107, NCRNA00216	PRO1617
AP5M1	C14orf108, MUDENG	FLJ10813, MuD, mu5
HFM1	SEC63D1	MER3, FLJ39011, FLJ36760
POLR1C		RPA40, RPA39, RPA5, RPAC1
HDHD1P2	FAM16B, HDHD1CP	
HCG25		dJ1033B10.16
SLC35C1		FUCT1, FLJ11320
HDHD1P1	FAM16AY, HDHD1BP	
FBXO34		FLJ20725, Fbx34
CACNA2D4		
NOSTRIN		MGC20702
NOP14-AS1	C4orf10	RES4-24
MCDR3		
B3GALTL		B3GTL, B3Glc-T
PEX11G		
SOX2-OT	SOX2OT	DKFZp761J1324, NCRNA00043
GPATCH2L	C14orf118	FLJ20689, FLJ10033
COX16	C14orf112	HSPC203
EXD2	C14orf114, EXDL2	FLJ10738
TMEM251	C14orf109	DKFZP564F1123
SMEK1	KIAA2010	FLJ20707, MSTP033, FLFL1, smk-1, smk1
FCF1	C14orf111	CGI-35, Bka, UTP24
RPS6KL1		MGC11287
VRTN	C14orf115	FLJ10811, vertnin
DCAF5	WDR22	BCRP2, D14S1461E, BCRG2, KIAA1824
DPF1		neuro-d4, NEUD4, BAF45b
KIF26A		KIAA1236, DKFZP434N178
CSN1S2BP	CSN1S2B	
MRX84		
DCAF4	WDR21, WDR21A	DKFZp434K114
CSN1S2AP	CSN1S2A	
KLHDC2		HCLP-1, LCP
VGLL2		
COQ6		CGI-10
EVL		RNB6
IBD8		
IBD9		
CRB3		MGC17303
OTSC5		
FNDC4		FLJ22362, FRCP1
FNDC5		FRCP2
RRAGAP1	RRAGAP	
CYP2W1		FLJ20359, MGC34287
CYP4X1		MGC40051
CYP51P1		
RAB2B		FLJ14824
MEPCE	BCDIN3	FLJ20257, MePCE
REM2		FLJ38964
SPRED1		FLJ33903
AJUBA	JUB	MGC15563
CYP51P2		
BANF1P1		BCRP1, D14S1460, D14S1460E, BCRG1
GCSAM	GCET2	MGC40441, HGAL
MGRN1		KIAA0544, RNF156
SFMBT1		RU1, DKFZp434L243, SFMBT
SFMBT2		KIAA1617
VN1R9P		VN1R22-1P
DCAF11	WDR23	PRO2389, GL014
ZBTB1		KIAA0997, ZNF909
SEC22A	SEC22L2	
NUPL1		KIAA0410
SKA3	C13orf3	MGC4832, RAMA1
SETDB2	C13orf4	CLLD8, CLLL8, KMT1F
LRRC10		HRLRRP, LRRC10A
ANKRD10		FLJ20093
ALG5		bA421P11.2
TTC9		KIAA0227, TTC9A
C14orf119		FLJ20671
NGDN	C14orf120	DKFZP564O092, LCP5, lpd-2, NGD
LRRC16B	C14orf121	BC008134, crml-1, CARMIL3
